location_for_google	lon	lat
Campbell, CA	-121.9499568	37.2871651
Thousand Oaks, CA	-118.8375937	34.1705609
Mayer, AZ	-112.2362734	34.3978054
Leon Springs, TX	-98.630699	29.66441
Bradley, WV	-81.193991	37.8653908
Beaver, WV	-81.1423203	37.7476157
Hunt, TX	-99.3379764	30.0710434
Yauco, PR	-66.84989829999999	18.034964
Union Hall, AR	-91.2664855	35.6329144
Bryant, AR	-92.48904689999999	34.5959265
Forest Springs, KY	-85.5064705	38.2934949
Nashville, TN	-86.7816016	36.1626638
Bellvue, TN	-86.96240859999999	36.07273259999999
Yuma, TN	-88.3367128	35.8475645
Raleigh, TN	-89.9089684	35.2120652
Humboldt, TN	-88.9158953	35.8197917
Mason, TN	-89.5379687	35.4142966
Tennessee Ridge, TN	-87.7733556	36.3119992
Leiper's Fork, TN	-86.9978788	35.8955544
Stanford, KY	-84.6618876	37.5311901
Dry Fork, KY	-85.9247005	36.81533
Redhouse, KY	-84.27215319999999	37.8323013
Lone Pine, MS	-88.74255389999999	34.9712002
Bishopville, OH	-82.04903259999999	39.51312619999999
Lobelville, TN	-87.78391289999999	35.7720103
Centerville, TN	-87.46695869999999	35.77895650000001
Palmyra, TN	-87.4846389	36.4360545
Lancaster, MO	-92.5279662	40.5208627
Monticello, MO	-91.7121073	40.118377
Little York, TX	-95.3248362	29.8699895
Midland, TX	-102.0779146	31.9973456
Barranquitas, PR	-66.3062802	18.1866242
Cedron, OH	-84.05493090000002	38.8061809
New Braunfels, TX	-98.1244531	29.7030024
Montgomery, AR	-93.66232389999999	34.5424074
Lawton, OK	-98.39592909999999	34.6035669
Norfolk, NE	-97.41375529999999	42.03272339999999
St. Paul, TX	-96.5502681	33.0412307
Oklahoma City, OK	-97.5164276	35.4675602
Lexington, NC	-80.2533838	35.8240265
Fox Chase, PA	-75.07863569999999	40.07361059999999
Pikeville, KY	-82.5187629	37.4792672
Sunset Crater, AZ	-111.5040458	35.3641752
Soldier, KY	-83.299347	38.2592478
Louisiana, MO	-91.05152559999999	39.4489351
Franklin Furnace, OH	-82.8479074	38.6177995
Milwaukee, WI	-87.9064736	43.0389025
Julian, WV	-81.8556813	38.1573204
Pharr, TX	-98.1836216	26.1947962
Altoona, IA	-93.47508359999999	41.6435514
Weber City, VA	-82.5620977	36.6228778
Springfield, IL	-89.6501481	39.78172130000001
Killeen, TX	-97.72779589999999	31.1171194
Bulverde, TX	-98.4530729	29.7438332
Alvarado, TX	-97.2116782	32.4065312
Austin, TX	-97.7430608	30.267153
Georgetown, TX	-97.6779842	30.6332618
Stilwell, OK	-94.6285553	35.81453
Corpus Christi, TX	-97.39638099999999	27.8005828
Albuquerque, NM	-106.6055534	35.0853336
Creswell, NC	-76.3921553	35.8704415
Collegeville, PA	-75.451571	40.1856597
Bradley, NY	-74.1318134	40.6058742
Sun City, CA	-117.1972566	33.7091878
Chino, CA	-117.688944	34.0122346
Dublin, KY	-88.802222	36.725278
Gilroy, CA	-121.5682751	37.0057816
Norwalk, OH	-82.6157331	41.24255309999999
Pine Grove, PA	-76.3846781	40.5484233
Luxora, AR	-89.9281419	35.7561879
NW Paducah, KY	-88.6000478	37.0833893
St. Peter, MN	-93.955691	44.3258932
Milton, VT	-73.11039079999999	44.63974049999999
Waynesboro, VA	-78.8894682	38.0684692
Sandyville, WV	-81.6606834	38.905916
Hardenville, MO	-92.3712714	36.5892297
Bentonville, AR	-94.2088172	36.3728538
Witter, AR	-93.68352349999999	35.9375779
West Fork, AR	-94.1885387	35.9242477
Perryville, AR	-92.8026673	35.0048102
West Plains, MO	-91.8523711	36.7281154
Monroe, LA	-92.1193012	32.5093109
Holly Springs, MS	-89.44868939999999	34.76759670000001
Dunlap, TN	-85.3905209	35.3714575
Dexter, NY	-76.04437089999999	44.0078352
Mayflower, AR	-92.42737849999999	34.9570324
Ward, AR	-91.95042099999999	35.0303648
Des Arc, AR	-91.49513069999999	34.9770353
Pocahontas, AR	-90.97123300000001	36.2614554
Cherry Valley, AR	-90.75316819999999	35.4020287
Delaplaine, AR	-90.7265024	36.2336769
Boyd, MT	-109.0659642	45.4577664
Pryor, MT	-108.5331862	45.4296745
Gallatin, AR	-94.4271581	36.2061907
Hardin, MT	-107.6120314	45.7324778
George, AR	-91.25274259999999	35.60960010000001
Chatham, IL	-89.70454389999999	39.676163
Kayjay, KY	-83.8490896	36.744252
Harrogate, TN	-83.65685789999999	36.5823046
Reliance, SD	-99.60316449999999	43.878881
Bartlett, MO	-91.4241426	36.967093
Hilo, HI	-155.0884869	19.7070942
Duchesne, UT	-110.4029329	40.1632913
Saratoga, WY	-106.8064263	41.4549621
Galena, IL	-90.4290168	42.4166744
Charlotte, NC	-80.8431267	35.2270869
East Greenwich, NJ	-75.2362381	39.7975993
Pittsburgh, PA	-79.9958864	40.44062479999999
Cohitre, PR	-65.9513863	18.2504557
Bristol, CT	-72.9492703	41.67176480000001
Milford, DE	-75.4279748	38.9126129
Pilesgrove, NJ	-75.3146439	39.6531394
Kearny, NJ	-74.1454214	40.7684342
Princeton, NJ	-74.6672226	40.3572976
Dover Township, NJ	-74.18473	39.9784479
Tuxedo, NY	-74.1944529	41.2376671
Clarksville, NY	-73.96401689999999	42.5759119
Windham, NY	-74.2520875	42.3073065
Lanesville, NY	-74.26292339999999	42.1278673
Fleischmanns, NY	-74.5323753	42.1553663
Altona, NY	-73.6556985	44.8883722
Croton, NY	-73.8912481	41.2084278
Fort Washington, PA	-75.19269369999999	40.1416782
Mendon, VT	-72.9275698	43.6517361
Glen, NY	-74.34457809999999	42.8942407
Wilmington, VT	-72.8714468	42.8683889
Lawrence, NJ	-74.7294313	40.2778055
Short, MS	-88.19778	34.94028
Pasadena, MD	-76.57107529999999	39.1073317
Derry Township, PA	-76.6528225	40.27403880000001
East Germantown, PA	-75.1691305	40.0428157
Swatara Township, PA	-76.81004879999999	40.2450508
Brickerville, PA	-76.3024557	40.2259263
Wysox, PA	-76.3993837	41.7745194
Penn Township, PA	-76.958545	39.8001757
East Cocalico Township, PA	-76.097201	40.227694
Great Falls, VA	-77.2883157	38.9981652
Lorton, VA	-77.2277603	38.704282
Vienna, VA	-77.2652604	38.9012225
Middle Paxton Township, PA	-76.8490328	40.3871185
Sebrell, VA	-77.1274657	36.783761
Tuscon, AZ	-110.926479	32.2217429
Ives Grove, WI	-87.95821	42.726354
Arecibo, PR	-66.6464068	18.444247
New Haven, KY	-85.59107279999999	37.6578396
Albany, OR	-123.1059282	44.6365107
Fedor, TX	-97.05276359999999	30.3160448
Bridge City, TX	-93.84572550000001	30.0207678
Little Rock, AR	-92.28959479999999	34.7464809
French, AR	-61.0012129	-35.5179943
Buckingham, VA	-78.55451649999999	37.5518299
Independence, KS	-95.7083131	37.2242358
Nelsonville, OH	-82.23181559999999	39.458681
Madison, SD	-97.1139496	44.0060847
Utuado, PR	-66.70045189999999	18.2655095
Elfers, FL	-82.7223228	28.2166778
Lake Havasu City, AZ	-114.3224548	34.483901
Wickenburg, AZ	-112.7301882	33.9697664
San Tan Valley, AZ	-111.5468301	33.177294
La Verken, UT	-113.2721584	37.2051385
Dallas, TX	-96.79698789999999	32.7766642
Fort Worth, TX	-97.3307658	32.7554883
Henderson, NV	-114.9817213	36.0395247
Las Vegas, NV	-115.1398296	36.1699412
Guayanilla, PR	-66.791842	18.0191314
Susistna River, AK	-150.3376063	61.8079391
Chireno, TX	-94.3518691	31.4993498
Tulsa, OK	-95.99277500000001	36.1539816
Juana Diaz, PR	-66.5075079	18.0534372
Soquel, CA	-121.9566267	36.9880057
Maryland Park, MD	-76.93776	38.9896967
Hanakapiai Beach, HI	-159.5981826	22.2087411
Scottsdale, AZ	-111.9260519	33.4941704
Henderson, KY	-87.59001339999999	37.8361538
De Soto, MO	-90.5551258	38.1394978
Arcadia, IN	-86.0216521	40.1758704
Minto, ND	-97.37146519999999	48.2916547
Peoria, IL	-89.5889864	40.6936488
Plainville, GA	-85.03716829999999	34.4050895
San Antonio, TX	-98.49362819999999	29.4241219
Schertz, TX	-98.269734	29.5521737
Parkersburg, IA	-92.78686340000002	42.5774797
Y City, AR	-94.07715209999999	34.7348248
Harrah, OK	-97.1636408	35.4895085
Mount Vernon, MO	-93.81854009999999	37.1036665
Eldon, MO	-92.58157589999999	38.34836360000001
Clearview, OK	-96.1863927	35.3970366
Mount Sterling, IL	-90.763463	39.9872707
Gwinner, ND	-97.6625959	46.2257963
Beech Creek, PA	-77.5886026	41.0758987
Fort Plain, NY	-74.6226425	42.9314616
Springwood, VA	-79.743683	37.54619599999999
Salem, VA	-80.05476259999999	37.2934681
Santa Fe, NM	-105.937799	35.6869752
 , OH	-82.90712300000001	40.4172871
Waynesville, MO	-92.2007227	37.8286516
Central , SC	-82.7812526	34.7242749
Jane, MO	-94.3052108	36.5472962
Manitou Springs, CO	-104.9171989	38.8597127
Colorado Springs, CO	-104.8213634	38.8338816
Needles, CA	-114.6141315	34.8480597
Prescott, AZ	-112.4685025	34.5400242
Jamestown, CO	-105.3886051	40.1155412
Boulder, CO	-105.2705456	40.0149856
Lyons, CO	-105.271378	40.2247075
Cedar Cove, CO	-105.2655427	40.41581710000001
Loveland, CO	-105.0749801	40.3977612
Truth or Consequences, NM	-107.2528069	33.1284047
Alma, NM	-108.903398	33.3795055
Dale, TX	-97.5647092	29.9273589
Canyon Lake, TX	-98.2625127	29.8752177
Carrollton, KY	-85.1793979	38.68089579999999
Wicklife, KY	-89.0892348	36.9647754
New Hope, KY	-85.50759049999999	37.6319355
Tiffin, OH	-83.1779746	41.1144992
Spencer, IN	-86.7625058	39.2867117
Fairfield, IL	-88.3597683	38.378937
Otwell, IN	-87.0922277	38.4547728
Delray Beach, FL	-80.0728201	26.4614625
Williamsburg, KY	-84.15965609999999	36.7434169
Powell Preserve, IN	-86.6352859	39.3259645
Winn, LA	-92.6586401	31.91961239999999
Yazoo City, MS	-90.4056468	32.8551326
Bloomfield, IN	-86.9375068	39.0269903
Caswell, ME	-67.8644525	46.9811169
Cantonment, FL	-87.34464919999999	30.6053644
Foley, AL	-87.6835974	30.4065868
Lillian, AL	-87.4360804	30.4142478
Winchester, VA	-78.1633341	39.1856597
Lockhart, TX	-97.6699996	29.8849441
Duplessis, LA	-90.93843280000002	30.2696396
Summertown, TN	-87.3128887	35.4348074
Revere, MO	-91.67766309999999	40.49503989999999
Waco, TX	-97.1466695	31.549333
Belle Fourche, SD	-103.852148	44.6713733
Bellevue, NE	-95.9145568	41.1543623
Canadian, TX	-100.3820772	35.91282
Can, TX	-96.8692848	32.6618063
Cedar Rapids, IA	-91.6656232	41.9778795
Mount Baldy, CA	-117.6589752	34.2363809
Greenvile, SC	-82.3940104	34.85261759999999
Warren, MI	-83.01465259999999	42.5144566
Oak Park, MI	-83.18270509999999	42.4594803
Chododendron, OR	-121.9111906	45.3295632
Tucson, AZ	-110.926479	32.2217429
Oracle Junction, AZ	-110.9334098	32.5538089
Joshua Tree, CA	-116.3130661	34.134728
Loving, NM	-104.095773	32.2862317
El Paso, TX	-106.4850217	31.7618778
Springdale, UT	-112.9985515	37.1888713
Cisco, UT	-109.3206722	38.969985200000004
